District,Tehsil,Village/Town,Property_Type,Ownership,Size_sq_m,Market_Price,Stamp_Duty%,Registration%,Broker%,Population,Amenities,Road_Access,Nearest_Neigh_km
Sehore,Jawar,Chandpur,Mixed-use,Private,9492.6,24528131,5.0,2,3,10601,6,Yes,0.9
Sehore,Sehore,Rehti,Residential,Private,13778.5,81224276,7.5,3,2,6428,2,No,19.2
Sehore,Sehore,Gunaur,Mixed-use,Private,239.2,592888,5.0,2,4,1798,6,No,2.3
Sehore,Ichhawar,Kalapipal Road,Mixed-use,Private,3726.2,14973097,6.0,3,2,11998,5,Yes,19.2
Sehore,Sehore,Sehore City,Mixed-use,Government,5925.1,34827388,6.0,2,0,1299,5,Yes,16.2
Sehore,Nasrullaganj,Kachhi Barod,Mixed-use,Institutional,3449.6,14405589,6.0,3,0,9660,3,No,4.0
Sehore,Ichhawar,Ladkui,Mixed-use,Government,1176.6,5424521,6.0,3,3,1307,2,No,18.7
Sehore,Nasrullaganj,Paraswada,Mixed-use,Cooperative,14114.8,18953741,6.0,2,2,3943,8,No,8.6
Sehore,Ashta,Sewas,Residential,Private,11215.4,49483779,5.0,2,1,957,9,Yes,7.3
Sehore,Sehore,Kachnariya Kalan,Residential,Private,5843.4,37860936,5.0,3,5,3537,2,Yes,15.4
Sehore,Nasrullaganj,Magarda,Agricultural,Private,12275.6,62269289,5.0,3,4,1832,8,No,8.5
Sehore,Ichhawar,Bamuliya Khurd,Commercial,Institutional,4412.8,38413567,5.0,2,2,9135,1,No,15.6
Sehore,Rehti,Dewas Naka,Commercial,Cooperative,12953.5,107537291,7.5,2,3,805,4,Yes,12.9
Sehore,Budhni,Jawar,Residential,Institutional,6816.9,44662538,7.5,2,4,6083,10,Yes,16.1
Sehore,Nasrullaganj,Bagmau,Commercial,Private,10742.6,49683059,6.0,2,3,9845,12,No,15.4
Sehore,Sehore,Bamuliya Mal,Agricultural,Cooperative,1417.6,7339907,5.0,3,4,6343,11,Yes,3.0
Sehore,Budhni,Bairagarh,Residential,Institutional,8576.7,62939156,5.0,2,1,1825,3,Yes,6.0
Sehore,Ichhawar,Jhal,Industrial,Private,6164.7,40671119,7.5,3,1,6570,11,Yes,9.2
Sehore,Sehore,Ichhawar,Industrial,Government,11259.2,39137137,7.5,2,4,9990,4,No,13.4
Sehore,Rehti,Dhaturiya Khurd,Commercial,Government,9886.3,54268138,5.0,3,0,5697,7,Yes,19.6
Sehore,Sehore,Magarda,Residential,Government,6141.0,43630836,7.5,2,3,10878,5,Yes,15.7
Sehore,Sehore,Bagmau,Industrial,Institutional,6151.3,9734022,5.0,2,4,7945,13,No,2.1
Sehore,Ichhawar,Salkanpur,Mixed-use,Institutional,8606.9,76117641,5.0,3,1,4425,7,Yes,4.9
Sehore,Nasrullaganj,Pipliya,Agricultural,Private,12831.2,98290068,5.0,3,1,66,1,No,12.0
Sehore,Sehore,Kothri,Residential,Private,12519.0,88960411,7.5,2,0,1380,11,Yes,16.3
Sehore,Rehti,Ichhawar,Residential,Private,5677.9,8220975,7.5,3,0,4851,11,Yes,17.2
Sehore,Rehti,Jawar,Industrial,Cooperative,11622.9,91857963,7.5,2,4,7313,11,No,12.6
Sehore,Ashta,Bhatkhedi,Commercial,Institutional,4110.2,33562857,6.0,3,4,4662,7,Yes,1.3
Sehore,Shyampur,Chandbad,Industrial,Cooperative,10097.2,58265853,6.0,2,4,1558,12,No,14.5
Sehore,Shyampur,Badiyakhedi,Residential,Government,8516.1,72045195,5.0,3,0,6559,15,No,1.4
Sehore,Jawar,Bankheri,Commercial,Cooperative,3543.1,30109028,6.0,3,5,2855,4,No,18.3
Sehore,Sehore,Kachhi Barod,Industrial,Private,7006.7,18493038,5.0,2,0,9928,3,Yes,7.7
Sehore,Jawar,Kalapipal,Commercial,Institutional,2054.8,10204105,7.5,3,3,2036,4,Yes,9.0
Sehore,Nasrullaganj,Kankariya,Agricultural,Private,10911.7,25637570,7.5,3,0,2357,14,No,6.0
Sehore,Ashta,Pandharinath,Industrial,Institutional,4328.6,6160468,6.0,2,5,4148,14,Yes,8.0
Sehore,Budhni,Patla,Industrial,Cooperative,10035.8,23710035,5.0,2,0,2695,11,Yes,17.6
Sehore,Ichhawar,Kachhi Barod,Commercial,Institutional,7829.8,68819457,5.0,3,5,8099,13,No,4.8
Sehore,Sehore,Bilpank,Mixed-use,Government,13159.5,102441557,5.0,3,3,527,6,Yes,11.5
Sehore,Shyampur,Budhni,Industrial,Cooperative,6089.5,51254368,5.0,3,3,11520,1,No,17.2
Sehore,Shyampur,Chandpur,Industrial,Government,12912.7,14509932,5.0,3,4,2403,2,Yes,3.7
Sehore,Rehti,Harpura Khurd,Commercial,Private,14882.9,95696705,7.5,3,0,5539,9,No,18.7
Sehore,Nasrullaganj,Ladkheda,Mixed-use,Government,11008.7,57054786,5.0,2,4,2323,6,No,19.4
Sehore,Ashta,Harpura Mal,Mixed-use,Institutional,3589.5,21492117,7.5,3,4,314,3,Yes,17.9
Sehore,Ashta,Dhodal,Residential,Government,9961.7,53178131,7.5,3,4,4831,11,Yes,6.0
Sehore,Rehti,Bamuliya Kalan,Mixed-use,Private,9737.3,31826633,6.0,3,0,11441,11,No,1.9
Sehore,Ichhawar,Chandpur,Mixed-use,Cooperative,6757.9,32578562,7.5,2,0,10135,8,No,7.7
Sehore,Budhni,Bamuliya Kalan,Residential,Cooperative,7463.9,39242040,6.0,2,4,9464,15,No,10.2
Sehore,Ichhawar,Paraswada,Agricultural,Government,7449.1,52129665,7.5,3,5,8641,1,No,12.9
Sehore,Jawar,Bhatkhedi,Residential,Institutional,13254.7,83618082,6.0,3,3,11972,10,No,13.7
Sehore,Ashta,Ichhawar,Residential,Government,4251.6,22678718,7.5,3,2,4446,5,Yes,18.7
Sehore,Sehore,Paraswada,Mixed-use,Cooperative,3005.9,11495041,7.5,3,1,10507,4,Yes,13.7
Sehore,Nasrullaganj,Pipalkheda,Commercial,Government,8229.0,67577726,7.5,2,2,6683,3,No,1.7
Sehore,Rehti,Banet,Mixed-use,Institutional,10858.5,91833471,5.0,3,3,2797,10,Yes,8.1
Sehore,Jawar,Doraha Mal,Commercial,Institutional,7983.7,57909454,6.0,2,1,8315,2,No,7.4
Sehore,Ashta,Rasuliya Khurd,Industrial,Institutional,14347.4,123339097,7.5,3,0,10042,6,No,15.5
Sehore,Nasrullaganj,Jetpura,Commercial,Private,2976.9,17935888,5.0,2,0,7934,10,No,3.4
Sehore,Jawar,Sewas,Agricultural,Government,4095.5,5330393,6.0,2,3,5089,2,No,5.9
Sehore,Budhni,Harpura Khurd,Agricultural,Government,1679.8,11475486,6.0,2,3,7846,12,Yes,4.8
Sehore,Sehore,Mogra,Agricultural,Private,319.6,1906787,5.0,2,2,1477,1,No,3.6
Sehore,Sehore,Bamuliya Kalan,Mixed-use,Private,10465.5,54313517,7.5,2,4,2206,13,No,0.2
Sehore,Rehti,Paraswada,Commercial,Institutional,6080.7,49384296,6.0,3,3,1006,6,No,15.9
Sehore,Shyampur,Mangrola,Industrial,Institutional,4535.9,10617267,6.0,3,4,5576,12,No,10.9
Sehore,Rehti,Pipliya Khurd,Industrial,Institutional,11965.3,42340629,7.5,3,1,8275,3,No,19.2
Sehore,Budhni,Bilkisganj,Industrial,Institutional,458.9,3882568,5.0,2,0,2604,13,No,7.5
Sehore,Jawar,Pipliya Khurd,Commercial,Private,14380.2,29465363,5.0,3,2,1184,4,Yes,6.5
Sehore,Shyampur,Rehti,Mixed-use,Government,9530.6,41986702,7.5,2,5,1694,5,No,5.8
Sehore,Sehore,Badiyakhedi,Mixed-use,Cooperative,2229.6,19408138,7.5,2,3,7406,15,No,14.4
Sehore,Nasrullaganj,Rasuliya Khurd,Industrial,Government,11223.7,22872694,7.5,2,2,4767,4,Yes,10.6
Sehore,Ichhawar,Bijepur,Residential,Government,2921.1,4391362,5.0,2,5,166,11,No,12.5
Sehore,Ashta,Pachama,Residential,Private,7832.3,33858594,6.0,2,1,11806,9,No,7.0
Sehore,Ichhawar,Gopalpur,Industrial,Private,10004.1,24165197,5.0,3,3,7656,6,No,15.0
Sehore,Rehti,Harpura Mal,Agricultural,Cooperative,2104.1,4709059,7.5,2,2,2383,10,Yes,10.3
Sehore,Shyampur,Pachama,Mixed-use,Government,10965.0,45394711,7.5,2,5,7251,2,No,3.6
Sehore,Shyampur,Banet Mal,Commercial,Government,6688.0,45060767,5.0,2,0,5388,3,Yes,3.2
Sehore,Jawar,Sonda,Commercial,Private,11013.5,81447296,7.5,2,5,5017,4,Yes,4.8
Sehore,Ichhawar,Harpura Khurd,Agricultural,Government,11857.1,93025967,7.5,2,2,9158,5,No,8.4
Sehore,Shyampur,Rasuliya Khurd,Industrial,Cooperative,3345.5,24977284,6.0,2,0,9405,6,No,17.3
Sehore,Shyampur,Bamuliya Kalan,Residential,Government,13407.6,78151015,7.5,3,0,3110,10,Yes,8.9
Sehore,Ichhawar,Nasrullaganj,Agricultural,Government,10027.5,57830260,7.5,3,5,1893,4,No,14.2
Sehore,Rehti,Chandbad,Mixed-use,Government,2029.6,2485503,7.5,2,1,6018,7,Yes,11.0
Sehore,Ichhawar,Rehti,Residential,Institutional,11434.1,56159307,7.5,3,4,8298,9,No,7.1
Sehore,Jawar,Doraha Mal,Agricultural,Institutional,2835.1,17292457,6.0,2,0,3359,1,No,19.6
Sehore,Jawar,Badiyakhedi,Residential,Institutional,1713.5,2623827,5.0,2,5,9397,15,Yes,0.6
Sehore,Ichhawar,Rasuliya Khurd,Mixed-use,Government,11706.0,80047206,7.5,3,5,443,2,No,4.1
Sehore,Nasrullaganj,Dhaturiya Khurd,Mixed-use,Government,925.8,7023113,5.0,3,3,1404,4,No,1.9
Sehore,Budhni,Patla,Industrial,Private,9528.7,65310124,5.0,2,1,1984,14,No,8.3
Sehore,Ichhawar,Jawar,Residential,Private,1809.7,7348570,5.0,2,1,735,2,Yes,9.0
Sehore,Rehti,Bamuliya Mal,Mixed-use,Cooperative,13991.4,36148330,7.5,2,0,4860,10,Yes,8.7
Sehore,Rehti,Pipalia,Mixed-use,Private,9932.2,46112682,7.5,3,4,1747,3,No,3.6
Sehore,Budhni,Pathar,Residential,Cooperative,9410.2,19995637,6.0,2,4,10944,6,Yes,3.1
Sehore,Nasrullaganj,Pachama,Commercial,Private,12612.7,72286029,7.5,3,2,11872,7,Yes,16.2
Sehore,Ashta,Ladkui,Mixed-use,Institutional,1992.8,13065763,6.0,2,0,3799,8,Yes,2.9
Sehore,Jawar,Kalapipal,Agricultural,Institutional,8131.4,33330202,5.0,2,0,4299,2,Yes,0.6
Sehore,Shyampur,Jawar,Industrial,Private,5478.4,12576384,5.0,3,2,1038,3,Yes,8.9
Sehore,Budhni,Jhal,Industrial,Private,6232.1,12712866,6.0,2,2,5283,5,Yes,16.6
Sehore,Ashta,Amlaha,Agricultural,Private,3805.5,7601705,7.5,3,3,8182,10,No,7.4
Sehore,Nasrullaganj,Bamuliya Khurd,Residential,Institutional,6686.8,42906172,6.0,3,2,7015,14,Yes,18.9
Sehore,Nasrullaganj,Borkhedi,Residential,Government,12564.6,37804324,6.0,2,0,772,9,Yes,15.4
Sehore,Budhni,Rehti,Commercial,Private,12107.0,83459175,6.0,2,0,7411,7,No,15.3
Sehore,Budhni,Jamuniya,Commercial,Cooperative,7782.9,41677282,7.5,2,5,11030,6,No,2.2
Sehore,Ashta,Kachhi Barod,Agricultural,Private,6994.8,17933870,5.0,3,3,1715,4,Yes,9.3
Sehore,Jawar,Dhodal,Residential,Private,12209.9,40314677,7.5,3,3,4969,4,No,3.6
Sehore,Jawar,Ichhawar,Residential,Cooperative,2791.3,14664188,7.5,3,3,7028,12,No,12.0
Sehore,Shyampur,Ichhawar,Commercial,Private,8454.0,31027039,7.5,2,4,6645,3,No,18.4
Sehore,Sehore,Pipalkheda,Industrial,Government,1257.7,7145217,7.5,2,1,11510,14,No,0.5
Sehore,Ashta,Khejra,Industrial,Cooperative,6429.4,22405239,6.0,2,0,1958,1,No,11.8
Sehore,Shyampur,Bherunda,Agricultural,Private,373.1,2328452,7.5,2,4,9094,2,No,11.5
Sehore,Rehti,Bagwada,Residential,Institutional,11784.1,15771550,7.5,2,4,4926,11,No,18.6
Sehore,Sehore,Kachnariya Kalan,Mixed-use,Cooperative,9612.1,59443296,5.0,3,4,7242,11,Yes,16.3
Sehore,Sehore,Kachnariya Kalan,Mixed-use,Institutional,1602.7,13245684,5.0,2,1,7995,5,Yes,9.8
Sehore,Nasrullaganj,Bagwada,Commercial,Government,11452.0,51478453,5.0,3,4,9363,15,Yes,19.9
Sehore,Shyampur,Ashta,Residential,Institutional,2543.9,11310932,7.5,2,0,3561,8,Yes,10.4
Sehore,Ichhawar,Kachhi Barod,Residential,Cooperative,899.4,2038821,7.5,2,5,10870,11,No,2.0
Sehore,Budhni,Chandpur,Agricultural,Cooperative,13520.4,110591121,5.0,3,0,8856,9,No,18.6
Sehore,Ashta,Doraha,Mixed-use,Cooperative,13420.9,46072777,5.0,2,0,7443,15,No,10.5
Sehore,Jawar,Bagmau,Industrial,Institutional,6610.0,7219919,5.0,2,0,4301,9,Yes,8.4
Sehore,Rehti,Gopalpur,Residential,Government,12644.4,51108655,5.0,3,4,6656,2,Yes,18.7
Sehore,Shyampur,Jetpura Khurd,Mixed-use,Institutional,11888.6,68944532,6.0,2,3,11948,13,No,11.6
Sehore,Shyampur,Jetpura Kalan,Residential,Institutional,723.6,2776547,7.5,2,2,1498,13,No,2.3
Sehore,Sehore,Shyampur,Industrial,Government,2721.3,8906651,7.5,2,2,11893,7,No,2.2
Sehore,Shyampur,Kherdi,Industrial,Government,4449.3,6057013,7.5,3,5,10530,5,No,7.7
Sehore,Jawar,Jetpura,Mixed-use,Cooperative,462.3,2137896,6.0,2,0,7323,1,Yes,11.3
Sehore,Budhni,Badiyakhedi,Commercial,Government,14719.9,56591699,5.0,3,2,8940,9,Yes,0.1
Sehore,Jawar,Khejra,Mixed-use,Cooperative,8027.9,40255666,7.5,2,3,2302,5,No,9.6
Sehore,Shyampur,Kachnariya Kalan,Mixed-use,Private,6419.7,38427762,5.0,2,2,1260,4,Yes,11.8
Sehore,Jawar,Harpura Kalan,Mixed-use,Government,14978.8,119606652,7.5,3,0,3861,4,No,14.4
Sehore,Ashta,Magarda,Commercial,Government,733.4,2226676,7.5,2,3,5496,13,Yes,18.2
Sehore,Rehti,Mardikhurd,Agricultural,Cooperative,2238.1,4468489,5.0,3,2,10704,1,Yes,14.0
Sehore,Nasrullaganj,Ichhawar,Mixed-use,Cooperative,6078.8,9151249,7.5,3,5,1120,13,Yes,14.0
Sehore,Ashta,Bijepur,Mixed-use,Private,13005.2,61043814,7.5,2,0,4498,2,No,5.5
Sehore,Budhni,Amlaha,Agricultural,Government,13793.2,82934660,6.0,3,4,10915,9,Yes,14.0
Sehore,Sehore,Bamuliya Khurd,Mixed-use,Cooperative,4729.3,23900868,7.5,3,5,1529,6,No,11.8
Sehore,Rehti,Bamuliya Mal,Residential,Private,1931.8,4014554,7.5,2,0,11313,13,No,19.9
Sehore,Jawar,Pachama,Residential,Institutional,1771.8,8497281,6.0,2,1,9814,9,No,4.2
Sehore,Rehti,Bagwada,Industrial,Government,1572.1,8857449,6.0,3,4,964,7,No,0.3
Sehore,Ashta,Kalapipal Road,Mixed-use,Institutional,12120.3,41084266,7.5,3,1,819,5,No,20.0
Sehore,Nasrullaganj,Harpura Mal,Mixed-use,Cooperative,6515.6,27910761,6.0,3,2,2701,1,No,6.4
Sehore,Rehti,Jamuniya,Industrial,Institutional,8099.8,9990890,6.0,3,2,3666,4,Yes,8.6
Sehore,Jawar,Bhatkhedi,Agricultural,Cooperative,13148.2,95537883,7.5,2,3,5563,12,No,1.2
Sehore,Sehore,Ladkheda Khurd,Agricultural,Institutional,3495.2,4996712,7.5,3,1,3109,2,Yes,3.1
Sehore,Ichhawar,Mogra,Industrial,Cooperative,10433.7,49993986,6.0,2,2,10097,2,No,0.7
Sehore,Budhni,Bhopal Pura,Agricultural,Private,1457.1,12073168,7.5,3,4,8521,11,No,19.9
Sehore,Ashta,Mangrola,Residential,Private,7160.8,36736071,6.0,3,5,8152,9,Yes,4.0
Sehore,Budhni,Bhopal Pura,Mixed-use,Institutional,6705.8,48850062,5.0,3,3,2260,12,No,15.9
Sehore,Ichhawar,Rasuliya Kalan,Industrial,Private,2277.3,4297861,5.0,2,1,8713,5,Yes,14.7
Sehore,Shyampur,Magarda,Commercial,Cooperative,5238.1,29909224,6.0,2,3,9128,6,Yes,7.4
Sehore,Nasrullaganj,Pipliya,Commercial,Institutional,1988.5,12674685,7.5,2,4,5363,15,No,7.3
Sehore,Nasrullaganj,Jawar,Residential,Cooperative,3876.6,24122415,6.0,3,2,2436,14,Yes,16.9
Sehore,Budhni,Barkheda,Commercial,Government,2380.1,15954767,6.0,3,4,10122,13,No,13.7
Sehore,Budhni,Mogra,Industrial,Cooperative,11481.2,33791119,6.0,2,3,2830,1,Yes,17.4
Sehore,Sehore,Banet Mal,Commercial,Private,13474.3,51593654,5.0,2,0,9990,13,No,19.3
Sehore,Ashta,Bamuliya,Agricultural,Government,575.3,3377613,5.0,3,5,8984,9,Yes,5.4
Sehore,Jawar,Dhodal,Commercial,Institutional,256.3,2015212,7.5,2,4,1182,12,No,8.9
Sehore,Nasrullaganj,Pipliya,Residential,Cooperative,5232.5,12442884,6.0,3,5,5939,5,No,8.6
Sehore,Jawar,Mangrola,Agricultural,Private,7168.7,42699133,6.0,2,0,10565,11,No,4.9
Sehore,Budhni,Patla,Mixed-use,Cooperative,14408.3,73481446,6.0,3,4,9354,10,No,19.8
Sehore,Ichhawar,Doraha Mal,Mixed-use,Private,4646.6,41272358,6.0,2,3,1764,5,No,13.7
Sehore,Nasrullaganj,Pachama,Commercial,Private,12168.5,96067668,7.5,3,5,4189,3,No,2.7
Sehore,Jawar,Harpura Mal,Commercial,Cooperative,2508.0,7232386,7.5,2,1,1896,11,No,0.7
Sehore,Ichhawar,Bilpank,Commercial,Government,7794.9,39890179,5.0,2,1,2437,2,Yes,16.3
Sehore,Ashta,Banet,Commercial,Government,13343.3,15080859,7.5,3,3,7160,7,Yes,1.0
Sehore,Ashta,Pipliya,Mixed-use,Cooperative,10745.8,21208144,7.5,2,2,3152,6,No,16.0
Sehore,Nasrullaganj,Nasrullaganj,Commercial,Institutional,13934.1,86377558,7.5,2,4,8411,13,Yes,15.7
Sehore,Nasrullaganj,Sonda Khurd,Mixed-use,Government,2989.2,10386394,7.5,3,5,1650,1,Yes,4.1
Sehore,Ashta,Paraswada,Industrial,Government,132.3,997404,6.0,3,5,9689,7,No,16.7
Sehore,Rehti,Budhni,Residential,Cooperative,6538.1,53449584,6.0,3,2,1557,2,Yes,18.1
Sehore,Sehore,Bhatkhedi,Agricultural,Private,10657.7,70688658,5.0,3,0,7373,9,No,2.1
Sehore,Nasrullaganj,Bamuliya Khurd,Industrial,Private,7880.1,8828511,7.5,2,3,6926,9,Yes,6.0
Sehore,Ichhawar,Pachama,Mixed-use,Cooperative,2456.8,14385709,5.0,2,4,7151,9,Yes,9.5
Sehore,Shyampur,Bamuliya Kalan,Residential,Institutional,537.1,3986789,6.0,2,2,7480,14,Yes,11.4
Sehore,Sehore,Budhni,Mixed-use,Government,1967.4,16813684,5.0,3,5,5923,8,Yes,7.7
Sehore,Nasrullaganj,Bilkisganj,Mixed-use,Private,11434.9,101121007,7.5,3,1,1243,13,No,7.3
Sehore,Rehti,Bherunda,Industrial,Cooperative,6897.2,45856246,7.5,2,3,4912,7,Yes,15.7
Sehore,Budhni,Bijepur,Mixed-use,Government,4262.5,25014112,7.5,3,1,7189,5,Yes,3.3
Sehore,Shyampur,Dhodal,Mixed-use,Private,6783.2,50801434,6.0,3,2,2210,2,No,13.7
Sehore,Rehti,Jamuniya,Residential,Institutional,6572.0,33164815,5.0,2,1,6065,8,Yes,14.2
Sehore,Ashta,Jawar,Residential,Cooperative,3355.8,22259068,6.0,3,2,915,8,Yes,4.3
Sehore,Ichhawar,Mardikhurd,Industrial,Government,7586.2,63392859,7.5,3,5,4637,1,Yes,1.9
Sehore,Ichhawar,Harpura,Agricultural,Cooperative,3666.3,7662559,6.0,2,3,8934,15,No,0.2
Sehore,Budhni,Nasrullaganj,Agricultural,Private,1444.7,8082934,5.0,2,3,1839,14,Yes,6.4
Sehore,Sehore,Bilkisganj,Residential,Institutional,3473.0,26170874,6.0,2,4,2280,4,Yes,0.8
Sehore,Budhni,Jhal,Mixed-use,Institutional,10232.8,10609653,6.0,3,5,10759,2,No,11.3
Sehore,Rehti,Bairagarh,Commercial,Government,11977.9,61988313,6.0,2,3,5696,3,No,5.7
Sehore,Shyampur,Barkheda,Industrial,Private,14393.3,105708026,7.5,2,3,3362,13,No,16.2
Sehore,Budhni,Ladkui,Residential,Private,3926.6,5352865,6.0,3,1,11266,3,Yes,9.4
Sehore,Nasrullaganj,Ladkui,Agricultural,Cooperative,3900.0,27734956,5.0,3,1,6942,9,Yes,8.2
Sehore,Nasrullaganj,Bijepur,Industrial,Private,11200.4,51325130,7.5,2,5,4168,15,No,18.6
Sehore,Jawar,Gunaur,Agricultural,Government,4823.4,13615552,7.5,3,3,2309,9,Yes,6.7
Sehore,Ashta,Mogra,Industrial,Institutional,10593.9,43941255,6.0,3,2,1361,6,No,3.3
Sehore,Ichhawar,Ashta,Mixed-use,Private,8149.4,29879384,6.0,2,0,8133,11,No,14.6
Sehore,Budhni,Bilpank,Residential,Private,14952.0,70298289,7.5,3,0,9897,11,Yes,2.9
Sehore,Nasrullaganj,Ralayati,Industrial,Private,10326.1,24960051,7.5,2,3,11798,10,No,18.4
Sehore,Rehti,Khejra,Residential,Government,14973.3,121938819,7.5,2,1,7221,15,No,15.7
Sehore,Rehti,Nasrullaganj,Residential,Government,12910.2,91357383,7.5,2,0,5284,2,No,4.4
Sehore,Ichhawar,Kachnariya,Mixed-use,Institutional,6647.1,54006187,6.0,2,3,4678,1,No,2.1
Sehore,Shyampur,Salkanpur,Commercial,Cooperative,8956.8,12504945,6.0,3,5,509,15,Yes,13.4
Sehore,Budhni,Jawar,Residential,Cooperative,4374.7,28086919,5.0,3,5,249,4,Yes,0.2
Sehore,Rehti,Paraswada,Residential,Government,6471.9,32695122,7.5,3,0,1229,9,No,12.6
Sehore,Budhni,Amlaha,Agricultural,Government,14400.9,55780351,5.0,3,5,9341,6,Yes,1.0
Sehore,Sehore,Doraha,Residential,Private,6160.8,30157992,7.5,2,5,364,7,No,18.9
Sehore,Ashta,Doraha,Mixed-use,Cooperative,10779.6,51957728,5.0,2,3,8257,5,Yes,14.4
Sehore,Jawar,Bamuliya Mal,Commercial,Institutional,4656.8,30693501,6.0,2,0,95,7,No,9.2
Sehore,Ichhawar,Dhodal,Agricultural,Private,3332.1,20202738,5.0,2,3,3531,7,No,5.2
Sehore,Sehore,Banet,Agricultural,Private,6933.9,21066362,7.5,2,5,3110,11,Yes,4.5
Sehore,Jawar,Kankariya,Agricultural,Private,1120.6,7729708,5.0,2,5,6960,14,Yes,7.2
Sehore,Ashta,Rasuliya Kalan,Mixed-use,Cooperative,7695.7,22654646,5.0,2,0,6341,7,No,4.5
Sehore,Ichhawar,Bamuliya Kalan,Residential,Institutional,13454.1,49458535,6.0,3,4,9167,13,No,6.5
Sehore,Ichhawar,Kurawar,Commercial,Cooperative,4730.3,19687181,5.0,2,3,11044,13,Yes,16.0
Sehore,Ichhawar,Paraswada,Agricultural,Institutional,7848.3,12729169,6.0,3,0,11435,10,Yes,0.1
Sehore,Shyampur,Barkheda,Residential,Institutional,12640.5,35459108,7.5,2,1,3147,7,Yes,2.1
Sehore,Ichhawar,Kothri,Agricultural,Private,7872.0,65171395,7.5,2,5,6047,10,Yes,8.7
Sehore,Budhni,Rampura,Industrial,Government,8070.1,29524670,7.5,2,5,9692,15,No,11.4
Sehore,Shyampur,Doraha Mal,Industrial,Government,10583.3,18558568,7.5,2,5,874,13,No,18.4
Sehore,Shyampur,Mangrola,Mixed-use,Government,1082.2,9558765,7.5,2,4,9583,8,Yes,16.1
Sehore,Nasrullaganj,Dhodal,Agricultural,Private,9887.8,88628617,5.0,2,5,7861,3,Yes,1.2
Sehore,Jawar,Bamuliya Kalan,Agricultural,Government,9409.1,72539092,5.0,2,5,2597,1,No,1.9
Sehore,Nasrullaganj,Jamuniya,Agricultural,Government,10988.6,92265100,7.5,2,0,6955,6,Yes,14.1
Sehore,Ichhawar,Ladkheda Khurd,Residential,Government,618.8,1647778,5.0,3,5,11451,3,Yes,17.1
Sehore,Ichhawar,Ralayati,Industrial,Institutional,12769.3,25762534,5.0,2,2,11811,4,Yes,18.0
Sehore,Ichhawar,Rampura,Residential,Cooperative,5085.1,6998515,6.0,3,1,97,11,Yes,7.0
Sehore,Jawar,Ralayati,Industrial,Cooperative,5389.4,44326451,5.0,2,1,1213,11,Yes,13.1
Sehore,Budhni,Sonda Khurd,Residential,Cooperative,4534.2,35917724,5.0,2,4,8748,4,Yes,18.9
Sehore,Ashta,Jetpura,Commercial,Institutional,1077.9,4415935,5.0,2,4,1379,13,Yes,18.8
Sehore,Sehore,Jamuniya,Residential,Private,5554.0,30310624,6.0,3,3,7594,13,Yes,7.7
Sehore,Sehore,Kothrikalan,Residential,Cooperative,5481.8,8132560,7.5,3,2,4973,11,Yes,8.9
Sehore,Sehore,Pipalkheda,Commercial,Institutional,9101.5,22831259,5.0,3,2,189,5,No,3.4
Sehore,Jawar,Paraswada,Commercial,Cooperative,2089.6,16834891,5.0,2,2,2456,5,Yes,15.7
Sehore,Ichhawar,Magarda,Mixed-use,Institutional,4057.0,8967774,7.5,2,4,8127,10,Yes,14.8
Sehore,Sehore,Patla,Commercial,Institutional,13619.0,91107382,7.5,3,2,3664,4,No,16.1
Sehore,Ichhawar,Pathar,Industrial,Government,13343.3,84512240,6.0,2,1,4072,5,Yes,19.0
Sehore,Ashta,Doraha Mal,Commercial,Private,1254.0,9625241,7.5,3,3,508,6,No,7.5
Sehore,Shyampur,Badiyakhedi,Mixed-use,Institutional,7530.7,55490176,6.0,3,5,10465,6,Yes,7.3
Sehore,Jawar,Jhal,Agricultural,Cooperative,14867.6,47083252,6.0,3,0,7109,4,No,2.6
Sehore,Ichhawar,Magarda,Agricultural,Institutional,410.1,2699250,5.0,3,4,5069,9,Yes,16.3
Sehore,Ichhawar,Ladkheda,Mixed-use,Government,4900.6,41751206,7.5,3,3,4999,14,No,3.7
Sehore,Jawar,Ashta,Industrial,Institutional,2119.7,8359126,7.5,2,2,3025,7,Yes,18.7
Sehore,Nasrullaganj,Jawar,Agricultural,Government,3777.4,30891898,6.0,2,2,5239,15,No,4.3
Sehore,Ashta,Mogra,Mixed-use,Cooperative,3362.6,24084821,5.0,2,5,346,1,Yes,10.0
Sehore,Rehti,Dhaturiya,Commercial,Private,1264.7,8649430,6.0,2,4,4651,6,Yes,4.3
Sehore,Nasrullaganj,Bhopal Pura,Industrial,Cooperative,3955.6,30668290,7.5,3,0,1892,8,Yes,12.9
Sehore,Ichhawar,Rasuliya Khurd,Residential,Cooperative,11965.8,95756274,5.0,2,3,7632,8,Yes,11.6
Sehore,Sehore,Banet Mal,Agricultural,Cooperative,2889.4,13708020,5.0,3,0,10629,14,Yes,18.5
Sehore,Rehti,Kothrikalan,Industrial,Private,446.8,3792620,6.0,2,0,464,15,Yes,9.7
Sehore,Ichhawar,Paraswada,Residential,Institutional,2859.7,13454653,5.0,2,3,483,10,No,4.6
Sehore,Budhni,Ladkui,Industrial,Private,7456.1,17267040,5.0,2,0,3295,7,No,7.1
Sehore,Ichhawar,Sewas,Industrial,Government,13604.7,16520349,7.5,2,4,11948,11,No,15.7
